Sr No,Issue Date,Title,Full Link
1,26-12-2024,भारत की राष्ट्रपति श्रीमती द्रौपदी मुर्मु का प्रधान मंत्री राष्ट्रीय बाल पुरस्कार समारोह में सम्बोधन (HINDI),https://presidentofindia.nic.in//speeches/bhaarata-kai-raasatarapatai-saraimatai-daraaupadai-mauramau-kaa-paradhaana-mantarai
2,23-12-2024,"भारत की राष्ट्रपति, श्रीमती द्रौपदी मुर्मु का वर्धमान महावीर मेडिकल कॉलेज एवं सफदरजंग अस्पताल के दीक्षांत समारोह में सम्बोधन (HINDI)",https://presidentofindia.nic.in//speeches/bhaarata-kai-raasatarapatai-saraimatai-daraaupadai-mauramau-kaa-varadhamaana-mahaavaira
3,20-12-2024,"ADDRESS BY THE HON’BLE PRESIDENT OF INDIA SMT. DROUPADI MURMU ON THE OCCASION OF PRESENTATION OF COLOURS TO COLLEGE OF DEFENCE MANAGEMENT, SECUNDERABAD",https://presidentofindia.nic.in//speeches/address-honble-president-india-smt-droupadi-murmu-occasion-presentation-colours-college
4,17-12-2024,"भारत की राष्ट्रपति, श्रीमती द्रौपदी मुर्मु का AIIMS – मंगलगिरि के प्रथम दीक्षांत समारोह में सम्बोधन (HINDI)",https://presidentofindia.nic.in//speeches/bhaarata-kai-raasatarapatai-saraimatai-daraaupadai-mauramau-kaa-aiims-mangalagairai-kae
5,16-12-2024,"SPEECH BY THE PRESIDENT OF INDIA, SMT DROUPADI MURMU AT THE BANQUET HOSTED IN HONOUR OF  HIS EXCELLENCY ANURA KUMARA DISANAYAKA  PRESIDENT OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA",https://presidentofindia.nic.in//speeches/speech-president-india-smt-droupadi-murmu-banquet-hosted-honour-his-excellency-anura
6,11-12-2024,"भारत की राष्ट्रपति, श्रीमती द्रौपदी मुर्मु का राष्ट्रीय पंचायत पुरस्कार वितरण समारोह में सम्बोधन (HINDI)",https://presidentofindia.nic.in//speeches/bhaarata-kai-raasatarapatai-saraimatai-daraaupadai-mauramau-kaa-raasataraiya-pancaayata
7,10-12-2024,"ADDRESS BY THE HON’BLE PRESIDENT OF INDIA, SMT DROUPADI MURMU ON THE OCCASION OF HUMAN RIGHTS DAY",https://presidentofindia.nic.in//speeches/address-honble-president-india-smt-droupadi-murmu-occasion-human-rights-day
8,04-12-2024,"ADDRESS BY THE HON’BLE PRESIDENT OF INDIA, SMT. DROUPADI MURMU ON THE OCCASION OF NAVY DAY",https://presidentofindia.nic.in//speeches/address-honble-president-india-smt-droupadi-murmu-occasion-navy-day
9,03-12-2024,भारत की राष्ट्रपति श्रीमती द्रौपदी मुर्मु का दिव्यांग-जन सशक्तीकरण के क्षेत्र में 2024 के राष्ट्रीय पुरस्कार समारोह में सम्बोधन (HINDI),https://presidentofindia.nic.in//speeches/bhaarata-kai-raasatarapatai-saraimatai-daraaupadai-mauramau-kaa-daivayaanga-jana
10,02-12-2024,भारत की राष्ट्रपति श्रीमती द्रौपदी मुर्मु का भारतीय राजस्व सेवा (सीमा शुल्क और अप्रत्यक्ष कर) के प्रशिक्षु अधिकारियों से मुलाकात के अवसर पर सम्बोधन (HINDI),https://presidentofindia.nic.in//speeches/bhaarata-kai-raasatarapatai-saraimatai-daraaupadai-mauramau-kaa-bhaarataiya-raajasava
